neighborhood,map_id,overall_score,overall_rank,overall_health_percentile,top_performing_1,tp1_score,top_performing_2,tp2_score,top_performing_3,tp3_score,lowest_performing_3,lp3_score,lowest_performing_2,lp2_score,lowest_performing_1,lp1_score
Alsuma,67,0.69,73,Poor,Transportation,3.04,Land Use,2.79,Economic Development,2.21,Housing & Neighborhoods,0.05,Public Services, 	-   ,Public Services, 	-   
Berryhill,31,1.90,45,Average,Environment & Natural Resources,3.72,Housing & Neighborhoods,2.84,Public Services,2.60,"History, Culture & Creativity",0.96,Land Use,0.94,Parks & Recreation,0.92
Booker T Washington,11,0.90,71,Poor,Parks & Recreation,4.64,Housing & Neighborhoods,3.61,Transportation,2.82,Environment & Natural Resources,1.96,"History, Culture & Creativity",1.91,Economic Development,0.83
Braden Park,27,2.89,28,Average,Communities,3.56,Housing & Neighborhoods,3.37,Land Use,2.71,"History, Culture & Creativity",2.46,Public Services,1.71,Transportation,1.68
Briarglen-Plaza,60,1.06,66,Poor,Housing & Neighborhoods,3.09,Transportation,2.74,Environment & Natural Resources,2.61,Public Services,1.52,Communities,1.44,"History, Culture & Creativity",1.11
Bryn Mawr-Lakewood,49,3.77,11,Good,Housing & Neighborhoods,3.69,Economic Development,3.37,Communities,3.25,"History, Culture & Creativity",1.97,Transportation,1.81,Parks & Recreation,1.54
Chamberlain,3,1.24,60,Average,Environment & Natural Resources,4.64,Transportation,3.08,Parks & Recreation,2.65,"History, Culture & Creativity",1.65,Economic Development,1.33,Housing & Neighborhoods, 	-   
Charles Page,21,2.02,41,Average,Transportation,3.16,Parks & Recreation,3.08,Environment & Natural Resources,2.83,Economic Development,1.42,Housing & Neighborhoods,1.23,"History, Culture & Creativity",1.19
Cherokee Heights,17,0.54,77,Poor,Parks & Recreation,3.30,Land Use,2.67,"History, Culture & Creativity",2.41,Environment & Natural Resources,1.93,Economic Development,1.09,Transportation,0.49
Cherry Street,37,4.65,2,Good,Housing & Neighborhoods,4.44,Communities,4.37,Economic Development,4.24,Transportation,2.65,Public Services,2.42,Environment & Natural Resources,1.45
Cooper,43,1.46,57,Average,Housing & Neighborhoods,2.98,Transportation,2.91,Parks & Recreation,2.82,Public Services,2.35,"History, Culture & Creativity",1.96,Economic Development,1.88
Crutchfield,16,0.67,74,Poor,Parks & Recreation,3.80,Housing & Neighborhoods,3.09,Transportation,2.81,Environment & Natural Resources,1.49,Communities,1.45,Public Services,0.44
Crystal Creek-Quail Ridge,68,1.99,43,Average,Economic Development,4.37,Transportation,3.02,Housing & Neighborhoods,2.14,Communities,0.65,Land Use,0.62,"History, Culture & Creativity",0.26
Downtown,23,4.35,5,Good,Land Use,5.00,Public Services,5.00,Public Services,5.00,Housing & Neighborhoods,2.68,Parks & Recreation,1.99,Environment & Natural Resources,0.57
Dunbar-Greenwood,10,2.00,42,Average,Transportation,4.63,Parks & Recreation,4.26,Communities,3.46,Housing & Neighborhoods,2.51,Public Services,2.35,Economic Development,1.62
